12÷2=？  	12÷2=？  <br>谜底：<font color="#FFFFFF">商陆  </font>\n
要人头税（三字影片名）	要人头税（三字影片名）<br>谜底：<font color="#FFFFFF">夺命钱</font>\n
要一半，仍一半 （字） 	要一半，仍一半 （字） <br>谜底：<font color="#FFFFFF">奶</font>\n
爷爷打先锋。  	爷爷打先锋。  <br>谜底：<font color="#FFFFFF">祖冲之</font>\n
冶金学。 （打外国故事片名一）  	冶金学。 （打外国故事片名一）  <br>谜底：<font color="#FFFFFF">钢铁是怎样炼成的  </font>\n
叶公惊慌失措。（打一生物名词）  	叶公惊慌失措。（打一生物名词）  <br>谜底：<font color="#FFFFFF">恐龙  </font>\n
夜半惊梦（中药名）	夜半惊梦（中药名）<br>谜底：<font color="#FFFFFF">苏子</font>\n
夜半临深池（五字俗语）	夜半临深池（五字俗语）<br>谜底：<font color="#FFFFFF">不看不知道</font>\n
夜半月斜水纵横 （字 ）	夜半月斜水纵横 （字 ）<br>谜底：<font color="#FFFFFF">浮</font>\n
夜半月斜水纵横 （字 ）	夜半月斜水纵横 （字 ）<br>谜底：<font color="#FFFFFF">浮</font>\n
夜半钟声 （字） 	夜半钟声 （字） <br>谜底：<font color="#FFFFFF">黯</font>\n
夜长日短（字）	夜长日短（字）<br>谜底：<font color="#FFFFFF">各</font>\n
夜来风雨声， 花落知多少。 （打国产故事片名一）  	夜来风雨声， 花落知多少。 （打国产故事片名一）  <br>谜底：<font color="#FFFFFF">桃李劫  </font>\n
夜盲（《答苏武书》句）	夜盲（《答苏武书》句）<br>谜底：<font color="#FFFFFF">终日无睹</font>\n
夜市（四字影片名）	夜市（四字影片名）<br>谜底：<font color="#FFFFFF">黑色交易</font>\n
夜行复夜行（国名）	夜行复夜行（国名）<br>谜底：<font color="#FFFFFF">多哥</font>\n
一、二、三月需珍视。  	一、二、三月需珍视。  <br>谜底：<font color="#FFFFFF">惜春</font>\n
一、三局见高底。（打一化学名词）  	一、三局见高底。（打一化学名词）  <br>谜底：<font color="#FFFFFF">中和  </font>\n
一把刀，水里漂， 有眼睛，没眉毛	一把刀，水里漂， 有眼睛，没眉毛<br>谜底：<font color="#FFFFFF">鱼</font>\n
一百五十分钟。 （成语）	一百五十分钟。 （成语）<br>谜底：<font color="#FFFFFF">时时刻刻 </font>\n
一笔写不出两个字（字）	一笔写不出两个字（字）<br>谜底：<font color="#FFFFFF">毛</font>\n
一笔债务。（打一数学名词）	一笔债务。（打一数学名词）<br>谜底：<font color="#FFFFFF">负数  </font>\n
一边绿,一边红,一边怕水,一边怕虫（字）	一边绿,一边红,一边怕水,一边怕虫（字）<br>谜底：<font color="#FFFFFF">秋</font>\n
一边说，一边听， 隔山隔水不隔音， 虽说相离千里远， 办事不过几分钟。（打一电讯用具）  	一边说，一边听， 隔山隔水不隔音， 虽说相离千里远， 办事不过几分钟。（打一电讯用具）  <br>谜底：<font color="#FFFFFF">长途电话  </font>\n
一表非凡（文学名词）	一表非凡（文学名词）<br>谜底：<font color="#FFFFFF">神话</font>\n
一(猜一成语)	一(猜一成语)<br>谜底：<font color="#FFFFFF">接二连三</font>\n
一唱雄鸡天下白。（打一地质名词）  	一唱雄鸡天下白。（打一地质名词）  <br>谜底：<font color="#FFFFFF">宇宙光  </font>\n
一串瓜，腰间挂， 抽掉筋，就开花。 （打一武器） 	一串瓜，腰间挂， 抽掉筋，就开花。 （打一武器） <br>谜底：<font color="#FFFFFF">手榴弹</font>\n
一串强弧光， 敌机见了慌， 目标盯得准， 为国固空防。 （打一武器） 	一串强弧光， 敌机见了慌， 目标盯得准， 为国固空防。 （打一武器） <br>谜底：<font color="#FFFFFF">探照灯</font>\n
一打就走（三字近代史名词）	一打就走（三字近代史名词）<br>谜底：<font color="#FFFFFF">十三行</font>\n
一旦有心,便能持久（字）	一旦有心,便能持久（字）<br>谜底：<font color="#FFFFFF">恒</font>\n
一到南京（字）	一到南京（字）<br>谜底：<font color="#FFFFFF">宇</font>\n
一道银光一条线， 划过长空似利剑， 霎时跑了千万里， 眨下眼睛看不见。（打一自然现象） 	一道银光一条线， 划过长空似利剑， 霎时跑了千万里， 眨下眼睛看不见。（打一自然现象） <br>谜底：<font color="#FFFFFF">闪电</font>\n
一递一个（文学体裁）	一递一个（文学体裁）<br>谜底：<font color="#FFFFFF">传奇</font>\n
一点回扣两下分 （字 ）	一点回扣两下分 （字 ）<br>谜底：<font color="#FFFFFF">擅</font>\n
一点一滴落实（字）	一点一滴落实（字）<br>谜底：<font color="#FFFFFF">买　</font>\n
一点一点兑现（字）	一点一点兑现（字）<br>谜底：<font color="#FFFFFF">兄</font>\n
一点一点入仓 （字） 	一点一点入仓 （字） <br>谜底：<font color="#FFFFFF">卷</font>\n
一顶小伞，落在林中， 一旦撑开，再难收拢。 	一顶小伞，落在林中， 一旦撑开，再难收拢。 <br>谜底：<font color="#FFFFFF">蘑菇</font>\n
一定在百分之八内 （字 ）	一定在百分之八内 （字 ）<br>谜底：<font color="#FFFFFF">道</font>\n
一斗有余（字）	一斗有余（字）<br>谜底：<font color="#FFFFFF">斜 </font>\n
一对明月,完整无缺,落在山下,四分五裂（字）	一对明月,完整无缺,落在山下,四分五裂（字）<br>谜底：<font color="#FFFFFF">崩</font>\n
一对小小船，载客各五员， 无水走天下，有水不开船。 	一对小小船，载客各五员， 无水走天下，有水不开船。 <br>谜底：<font color="#FFFFFF">布鞋 </font>\n
一对圆眼黑娃娃， 眼睛能够变戏法， 万物被它瞧一瞧， 远变近来小变大。 （打一军用物） 	一对圆眼黑娃娃， 眼睛能够变戏法， 万物被它瞧一瞧， 远变近来小变大。 （打一军用物） <br>谜底：<font color="#FFFFFF">望远镜</font>\n
一飞上空入云层（字）	一飞上空入云层（字）<br>谜底：<font color="#FFFFFF">卢</font>\n
一改故辙。（打北京一地名）  	一改故辙。（打北京一地名）  <br>谜底：<font color="#FFFFFF">新开路  </font>\n
一改故辙。（打北京一地名）	一改故辙。（打北京一地名）<br>谜底：<font color="#FFFFFF">新开路</font>\n
一个巴掌拍不响。 （成语）	一个巴掌拍不响。 （成语）<br>谜底：<font color="#FFFFFF">孤掌难鸣 </font>\n
一个白发老妈妈， 走起路来四边爬， 不用铁鎝不用锄， 种下一片好芝麻。 	一个白发老妈妈， 走起路来四边爬， 不用铁鎝不用锄， 种下一片好芝麻。 <br>谜底：<font color="#FFFFFF">蚕蛾</font>\n
一个白胡老头， 带了一袋黑豆， 一面走，一面漏。 	一个白胡老头， 带了一袋黑豆， 一面走，一面漏。 <br>谜底：<font color="#FFFFFF">羊</font>\n
一个白胡老头， 带了一袋黑豆， 一面走，一面漏。 	一个白胡老头， 带了一袋黑豆， 一面走，一面漏。 <br>谜底：<font color="#FFFFFF">羊</font>\n
一个大，一个小，一个跑，一个跳	一个大，一个小，一个跑，一个跳<br>谜底：<font color="#FFFFFF">骚</font>\n
一个姑娘，实在荒唐， 造间房子，不留门窗。 	一个姑娘，实在荒唐， 造间房子，不留门窗。 <br>谜底：<font color="#FFFFFF">蚕</font>\n
一个黑大汉，腰插两把扇， 走一步，扇几扇。 	一个黑大汉，腰插两把扇， 走一步，扇几扇。 <br>谜底：<font color="#FFFFFF">驼鸟</font>\n
一个黑孩，从不开口， 要是开口，掉了舌头。 	一个黑孩，从不开口， 要是开口，掉了舌头。 <br>谜底：<font color="#FFFFFF">瓜子</font>\n
 一个鸡蛋一身毛,只会跳来不会跑 	 一个鸡蛋一身毛,只会跳来不会跑 <br>谜底：<font color="#FFFFFF">是麻雀</font>\n
一个叫姑姑，一个叫妈妈， 一个叫哥哥，一个叫娃娃。 （打四种动物） 	一个叫姑姑，一个叫妈妈， 一个叫哥哥，一个叫娃娃。 （打四种动物） <br>谜底：<font color="#FFFFFF">鸽、羊、鸡、乌鸦</font>\n
一个蓝蓝盘，两个圆圆饼， 一个火火热，一个冰冰冷。（打两种天体） 	一个蓝蓝盘，两个圆圆饼， 一个火火热，一个冰冰冷。（打两种天体） <br>谜底：<font color="#FFFFFF">太阳、月亮</font>\n
一个婆婆园中站，身上挂满小鸡蛋， 又有红来又有绿，既好吃来又好看 	一个婆婆园中站，身上挂满小鸡蛋， 又有红来又有绿，既好吃来又好看 <br>谜底：<font color="#FFFFFF">枣树</font>\n
一个胜利接着一个胜利 （字）	一个胜利接着一个胜利 （字）<br>谜底：<font color="#FFFFFF">兢</font>\n
一个铜娃娃， 生来嗓门大， 从小就参军， 常把命令下。 （打一军用物） 	一个铜娃娃， 生来嗓门大， 从小就参军， 常把命令下。 （打一军用物） <br>谜底：<font color="#FFFFFF">军号</font>\n
一个小姑娘，生在水中央， 身穿粉红衫，坐在绿船上。 	一个小姑娘，生在水中央， 身穿粉红衫，坐在绿船上。 <br>谜底：<font color="#FFFFFF">荷花</font>\n
一个小孩生得俏， 头上戴顶红缨帽， 衣裳穿了七八件， 全身都是珍珠宝。 	一个小孩生得俏， 头上戴顶红缨帽， 衣裳穿了七八件， 全身都是珍珠宝。 <br>谜底：<font color="#FFFFFF">玉米</font>\n
一个小石潭， 满塘烂泥巴， 飞来白天鹅， 变成黑乌鸦。 （打一文具） 	一个小石潭， 满塘烂泥巴， 飞来白天鹅， 变成黑乌鸦。 （打一文具） <br>谜底：<font color="#FFFFFF">砚 </font>\n
一个英雄汉，设下天罗网， 整天打埋伏，专捉飞来将。 	一个英雄汉，设下天罗网， 整天打埋伏，专捉飞来将。 <br>谜底：<font color="#FFFFFF">蜘蛛</font>\n
一根树儿高又高， 上面结了千把刀。 	一根树儿高又高， 上面结了千把刀。 <br>谜底：<font color="#FFFFFF">皂角树</font>\n
一根线，扯得远， 马儿线上跑， 车儿线上窜， 条条线儿通北京， 条条线儿都相连。 （打一交通设施）  	一根线，扯得远， 马儿线上跑， 车儿线上窜， 条条线儿通北京， 条条线儿都相连。 （打一交通设施）  <br>谜底：<font color="#FFFFFF">公路  </font>\n
一共添两横（字）	一共添两横（字）<br>谜底：<font color="#FFFFFF">其</font>\n
一钩残月伴叁星（字）#############      </td>	一钩残月伴叁星（字）#############      </td><br>谜底：<font color="#FFFFFF">心</font>\n
一钩新月伴双星（字）	一钩新月伴双星（字）<br>谜底：<font color="#FFFFFF">乎</font>\n
一勾新月伴三星（ 字 ）	一勾新月伴三星（ 字 ）<br>谜底：<font color="#FFFFFF">心</font>\n
一鼓再鼓。 （打一京剧名）  	一鼓再鼓。 （打一京剧名）  <br>谜底：<font color="#FFFFFF">三击掌  </font>\n
一户五口人，各有各的门， 谁要进错屋，就会笑死人。 	一户五口人，各有各的门， 谁要进错屋，就会笑死人。 <br>谜底：<font color="#FFFFFF">衣扣 </font>\n
一家分两院,两院姐妹多,多的倒比少的少,少的倒比多的多	一家分两院,两院姐妹多,多的倒比少的少,少的倒比多的多<br>谜底：<font color="#FFFFFF">是算盘</font>\n
一家十一口（字）	一家十一口（字）<br>谜底：<font color="#FFFFFF">吉</font>\n
一家十一口,一家二十口, 两家合一起, 万事都不愁（字）	一家十一口,一家二十口, 两家合一起, 万事都不愁（字）<br>谜底：<font color="#FFFFFF">喜</font>\n
一减一不是零。 	一减一不是零。 <br>谜底：<font color="#FFFFFF">三! </font>\n
一见倾心（二字影片名）	一见倾心（二字影片名）<br>谜底：<font color="#FFFFFF">如意</font>\n
一见如故（字 ） 	一见如故（字 ） <br>谜底：<font color="#FFFFFF">日</font>\n
一见喜（五字影片名）	一见喜（五字影片名）<br>谜底：<font color="#FFFFFF">快乐的数字</font>\n
一箭穿心（字）	一箭穿心（字）<br>谜底：<font color="#FFFFFF">必</font>\n
一箭射透负情人（三字日常行为用语）	一箭射透负情人（三字日常行为用语）<br>谜底：<font color="#FFFFFF">穿背心</font>\n
一箭射中虎屁股 （ 字）	一箭射中虎屁股 （ 字）<br>谜底：<font color="#FFFFFF">风</font>\n
一件东西来回走,只有牙齿没有口	一件东西来回走,只有牙齿没有口<br>谜底：<font color="#FFFFFF">锯</font>\n
一江春水向东流。（打云南一地名）  	一江春水向东流。（打云南一地名）  <br>谜底：<font color="#FFFFFF">通海  </font>\n
一江春水向东流 （字 ）	一江春水向东流 （字 ）<br>谜底：<font color="#FFFFFF">枉</font>\n
一角（三字俗语）	一角（三字俗语）<br>谜底：<font color="#FFFFFF">打光棍</font>\n
一角一斤（字）	一角一斤（字）<br>谜底：<font color="#FFFFFF">匠</font>\n
一介书生 （字） 	一介书生 （字） <br>谜底：<font color="#FFFFFF">牛</font>\n
一斤多一点（字）	一斤多一点（字）<br>谜底：<font color="#FFFFFF">斥 </font>\n
一开口就怨活苦，要埋怨人就不成(字)	一开口就怨活苦，要埋怨人就不成(字)<br>谜底：<font color="#FFFFFF">喷</font>\n
一棵树，高又大， 不长叶子不开花， 串串白果挂树上， 条条藤儿树上爬。（打一工业设施）  	一棵树，高又大， 不长叶子不开花， 串串白果挂树上， 条条藤儿树上爬。（打一工业设施）  <br>谜底：<font color="#FFFFFF">高压线杆  </font>\n
一棵小树不太高， 小孩爬在半中腰， 身穿小绿袄，头戴红缨帽。 	一棵小树不太高， 小孩爬在半中腰， 身穿小绿袄，头戴红缨帽。 <br>谜底：<font color="#FFFFFF">玉米</font>\n
一口吃掉牛尾巴（字）	一口吃掉牛尾巴（字）<br>谜底：<font color="#FFFFFF">告</font>\n
一口肥猪力气大， 铁腿铁脚铁脑瓜， 不吃糠菜不吃粮， 移山造田拱泥巴。 （打一农机） 	一口肥猪力气大， 铁腿铁脚铁脑瓜， 不吃糠菜不吃粮， 移山造田拱泥巴。 （打一农机） <br>谜底：<font color="#FFFFFF">推土机 </font>\n
一口坛子三道箍， 里面装满白豆腐。 	一口坛子三道箍， 里面装满白豆腐。 <br>谜底：<font color="#FFFFFF">荸荠</font>\n
一口咬住多半截 （字） 	一口咬住多半截 （字） <br>谜底：<font color="#FFFFFF">名</font>\n
一块明镜大， 挂在高山洼， 照见棉粮海， 映出丰收画。 （打一农业设施） 	一块明镜大， 挂在高山洼， 照见棉粮海， 映出丰收画。 （打一农业设施） <br>谜底：<font color="#FFFFFF">蓄水池 </font>\n
一来再来 （字 ）	一来再来 （字 ）<br>谜底：<font color="#FFFFFF">冉</font>\n
一粒米,打三截,又没骨头又没血	一粒米,打三截,又没骨头又没血<br>谜底：<font color="#FFFFFF">蚂蚁! </font>\n
一辆小车下泥水， 不向前走往后退， 许多娃娃跳下车， 泥水地里排成队。 （打一农机） 	一辆小车下泥水， 不向前走往后退， 许多娃娃跳下车， 泥水地里排成队。 （打一农机） <br>谜底：<font color="#FFFFFF">水稻插秧机 </font>\n
一流水准（字）	一流水准（字）<br>谜底：<font color="#FFFFFF">淮</font>\n
一六逢集。 （打一京剧名）  	一六逢集。 （打一京剧名）  <br>谜底：<font color="#FFFFFF">奇双会  </font>\n
一路顺风	一路顺风<br>谜底：<font color="#FFFFFF">安达! </font>\n
一面之词（五字称谓）	一面之词（五字称谓）<br>谜底：<font color="#FFFFFF">首席发言人</font>\n
一年十二度圆缺（四字生理名词）	一年十二度圆缺（四字生理名词）<br>谜底：<font color="#FFFFFF">月经周期</font>\n
一年十二月（中药名）	一年十二月（中药名）<br>谜底：<font color="#FFFFFF">四季青</font>\n
 一年四季收割忙	 一年四季收割忙<br>谜底：<font color="#FFFFFF">是常熟! </font>\n
一年之计 （字 ）	一年之计 （字 ）<br>谜底：<font color="#FFFFFF">青</font>\n
一排树，整整齐， 没长树叶没长皮， 过去只在城里种， 如今种到山村里。 （打一工业设施）  	一排树，整整齐， 没长树叶没长皮， 过去只在城里种， 如今种到山村里。 （打一工业设施）  <br>谜底：<font color="#FFFFFF">电线杆  </font>\n
一排牙齿白的多， 肚里呼吸口唱歌， 只要你把牙齿按， 一唱起来劲头足。 （打一乐器） 	一排牙齿白的多， 肚里呼吸口唱歌， 只要你把牙齿按， 一唱起来劲头足。 （打一乐器） <br>谜底：<font color="#FFFFFF">风琴 </font>\n
一派冗言，不得其实 （字） 	一派冗言，不得其实 （字） <br>谜底：<font color="#FFFFFF">亮</font>\n
一片白线半天高， 可惜布机织不了， 剪刀裁它不会断， 只有风吹能折腰。（打一自然物	一片白线半天高， 可惜布机织不了， 剪刀裁它不会断， 只有风吹能折腰。（打一自然物<br>谜底：<font color="#FFFFFF">雨</font>\n
一撇一竖一点 （字 ）	一撇一竖一点 （字 ）<br>谜底：<font color="#FFFFFF">压</font>\n
一千零一夜 （字） 	一千零一夜 （字） <br>谜底：<font color="#FFFFFF">歼</font>\n
一桥飞架南北（字）	一桥飞架南北（字）<br>谜底：<font color="#FFFFFF">工</font>\n
一窍不通（文学体裁）	一窍不通（文学体裁）<br>谜底：<font color="#FFFFFF">七绝</font>\n
一曲高歌夕阳下（字）	一曲高歌夕阳下（字）<br>谜底：<font color="#FFFFFF">曹</font>\n
一去就当元帅（字）	一去就当元帅（字）<br>谜底：<font color="#FFFFFF">师</font>\n
一犬守仓下（字）	一犬守仓下（字）<br>谜底：<font color="#FFFFFF">犯</font>\n
一人夺走了头功（字）	一人夺走了头功（字）<br>谜底：<font color="#FFFFFF">夯</font>\n
一人立正，一人稍息 （字） 	一人立正，一人稍息 （字） <br>谜底：<font color="#FFFFFF">价</font>\n
一人双土后一节。	一人双土后一节。<br>谜底：<font color="#FFFFFF">佳节</font>\n
一人涛头立，一人水中翻 （字 ）	一人涛头立，一人水中翻 （字 ）<br>谜底：<font color="#FFFFFF">似</font>\n
一人腰上挂把弓（字）	一人腰上挂把弓（字）<br>谜底：<font color="#FFFFFF">夷</font>\n
一人一张口，口下长只手（字）	一人一张口，口下长只手（字）<br>谜底：<font color="#FFFFFF">拿</font>\n
一人之下 （字 ）	一人之下 （字 ）<br>谜底：<font color="#FFFFFF">达</font>\n
一人之下，万人之上（ 字 ）	一人之下，万人之上（ 字 ）<br>谜底：<font color="#FFFFFF">全</font>\n
一扇玻璃窗，光线明又亮， 演戏放电影，天天换新样。 （打一无线电器具）  	一扇玻璃窗，光线明又亮， 演戏放电影，天天换新样。 （打一无线电器具）  <br>谜底：<font color="#FFFFFF">电视机  </font>\n
一身而二任也（五字俗语）	一身而二任也（五字俗语）<br>谜底：<font color="#FFFFFF">对事不对人</font>\n
一身毛，四只手， 坐着象人，走着象狗。 	一身毛，四只手， 坐着象人，走着象狗。 <br>谜底：<font color="#FFFFFF">猴</font>\n
一身青衣两头尖，尝尝滋味苦后甜（果品）	一身青衣两头尖，尝尝滋味苦后甜（果品）<br>谜底：<font color="#FFFFFF">橄榄</font>\n
一生不爱发言， 说话动地惊天， 谁要惹它发火， 大山掀掉半边。 （打一武器） 	一生不爱发言， 说话动地惊天， 谁要惹它发火， 大山掀掉半边。 （打一武器） <br>谜底：<font color="#FFFFFF">炸药</font>\n
一生离别君未归（演员）	一生离别君未归（演员）<br>谜底：<font color="#FFFFFF">牛群</font>\n
一生自力（字）	一生自力（字）<br>谜底：<font color="#FFFFFF">六</font>\n
一士安得守四方 （字 ）	一士安得守四方 （字 ）<br>谜底：<font color="#FFFFFF">噩</font>\n
一视同仁，步入坦途。 （打两个数学名词）  	一视同仁，步入坦途。 （打两个数学名词）  <br>谜底：<font color="#FFFFFF">相等、平行 </font>\n
一手拿针，一手拿线。 （成语）	一手拿针，一手拿线。 （成语）<br>谜底：<font color="#FFFFFF">望眼欲穿 </font>\n
一岁一枯荣（古代典籍）	一岁一枯荣（古代典籍）<br>谜底：<font color="#FFFFFF">草木春秋</font>\n
一胎两男。（打一星座）	一胎两男。（打一星座）<br>谜底：<font color="#FFFFFF">双子星</font>\n
一条大船不靠岸，海里沉浮随心愿， 不烧煤来不用油，烟筒冒水不见烟。 	一条大船不靠岸，海里沉浮随心愿， 不烧煤来不用油，烟筒冒水不见烟。 <br>谜底：<font color="#FFFFFF">鲸鱼</font>\n
一条带儿细又长， 开动机器它又忙， 你作报告它记录， 一字一句不走样。（打一电讯用具）  	一条带儿细又长， 开动机器它又忙， 你作报告它记录， 一字一句不走样。（打一电讯用具）  <br>谜底：<font color="#FFFFFF">录音机  </font>\n
一条牛，有翅膀， 两要辫子比身长， 危害果木罪恶大， 人们称它"锯树郎"。 	一条牛，有翅膀， 两要辫子比身长， 危害果木罪恶大， 人们称它"锯树郎"。 <br>谜底：<font color="#FFFFFF">天牛</font>\n
一条牛，真厉害， 猛兽见它也避开， 它的皮厚毛稀少， 长出角来当药材。 	一条牛，真厉害， 猛兽见它也避开， 它的皮厚毛稀少， 长出角来当药材。 <br>谜底：<font color="#FFFFFF">犀牛</font>\n
一条绳，软又软， 埋在土里会动弹。 	一条绳，软又软， 埋在土里会动弹。 <br>谜底：<font color="#FFFFFF">蚯蚓</font>\n
一条藤儿千里攀，跨过大河跨过江， 有音俏俏藤上来，去把消息远方传。 （打一电讯工具）  	一条藤儿千里攀，跨过大河跨过江， 有音俏俏藤上来，去把消息远方传。 （打一电讯工具）  <br>谜底：<font color="#FFFFFF">电话线  </font>\n
一听有变当局马上救援（字）	一听有变当局马上救援（字）<br>谜底：<font color="#FFFFFF">暂</font>\n
一头牛,两个头,这边喝水那边流	一头牛,两个头,这边喝水那边流<br>谜底：<font color="#FFFFFF">抽水机! </font>\n
一头小牛黑溜溜， 无角无尾不拉耧， 日夜躲在仓库里， 钻在小麦心里头。 	一头小牛黑溜溜， 无角无尾不拉耧， 日夜躲在仓库里， 钻在小麦心里头。 <br>谜底：<font color="#FFFFFF">麦牛</font>\n
一团幽香美难言， 色如丹桂味如莲， 真身已归西天去， 十指尖尖在人间。 	一团幽香美难言， 色如丹桂味如莲， 真身已归西天去， 十指尖尖在人间。 <br>谜底：<font color="#FFFFFF">佛手</font>\n
一弯曲水接平野（字）	一弯曲水接平野（字）<br>谜底：<font color="#FFFFFF">丞</font>\n
一弯新月破金乌（ 字 ）	一弯新月破金乌（ 字 ）<br>谜底：<font color="#FFFFFF">归</font>\n
一桅白帆挂两片, 三颗寒星映孤舟 （字）	一桅白帆挂两片, 三颗寒星映孤舟 （字）<br>谜底：<font color="#FFFFFF">患</font>\n
一位姑娘瘦条条， 头重脚轻站不牢， 两个耳环飘左右， 说起话来咚咚叫。 （打一乐器） 	一位姑娘瘦条条， 头重脚轻站不牢， 两个耳环飘左右， 说起话来咚咚叫。 （打一乐器） <br>谜底：<font color="#FFFFFF">摇鼓 </font>\n
一位老头背袋豆,一头走,一头漏	一位老头背袋豆,一头走,一头漏<br>谜底：<font color="#FFFFFF">是羊! </font>\n
一位游泳家，说话呱呱呱， 小时有尾没有脚， 大时有脚没尾巴。 	一位游泳家，说话呱呱呱， 小时有尾没有脚， 大时有脚没尾巴。 <br>谜底：<font color="#FFFFFF">青蛙</font>\n
一物长得好奇怪， 牙齿生在嘴巴外， 俺队经常把它喂， 光吃草来不吃菜。 （打一农业用具） 	一物长得好奇怪， 牙齿生在嘴巴外， 俺队经常把它喂， 光吃草来不吃菜。 （打一农业用具） <br>谜底：<font color="#FFFFFF">铡草刀 </font>\n
一物长得真奇怪， 腰里长出胡子来， 拨开胡子开一开， 露出牙齿一排排。 	一物长得真奇怪， 腰里长出胡子来， 拨开胡子开一开， 露出牙齿一排排。 <br>谜底：<font color="#FFFFFF">玉米</font>\n
一物生得怪，天生怕太阳， 不晒硬铮铮，一晒泪盈盈。 （打一自然物） 	一物生得怪，天生怕太阳， 不晒硬铮铮，一晒泪盈盈。 （打一自然物） <br>谜底：<font color="#FFFFFF">冰</font>\n
一物生来本领大， 叫它说啥就说啥， 说话就行走， 行走就说话。 （打一文具） 	一物生来本领大， 叫它说啥就说啥， 说话就行走， 行走就说话。 （打一文具） <br>谜底：<font color="#FFFFFF">毛笔 </font>\n
一物生来两面坡， 坡顶好象马蜂窝， 对准蜂窝吹吹气， 陪我唱起动人歌。 （打一乐器） 	一物生来两面坡， 坡顶好象马蜂窝， 对准蜂窝吹吹气， 陪我唱起动人歌。 （打一乐器） <br>谜底：<font color="#FFFFFF">口琴 </font>\n
一物生来牙齿多， 爱在田里唱山歌， 喀嚓喀嚓走过去， 留下行行绿秧禾。 （打一农机） 	一物生来牙齿多， 爱在田里唱山歌， 喀嚓喀嚓走过去， 留下行行绿秧禾。 （打一农机） <br>谜底：<font color="#FFFFFF">插秧机 </font>\n
 一物生来真奇怪,它是世上一盘菜,娘死它才生,它死娘还在 	 一物生来真奇怪,它是世上一盘菜,娘死它才生,它死娘还在 <br>谜底：<font color="#FFFFFF">是木耳! </font>\n
一物生来真轻巧， 身长羽毛不是鸟， 没有翅膀空中飞， 落地没脚难起跳。 （打一体育用品） 	一物生来真轻巧， 身长羽毛不是鸟， 没有翅膀空中飞， 落地没脚难起跳。 （打一体育用品） <br>谜底：<font color="#FFFFFF">羽毛球 </font>\n
一物生来真稀奇， 身穿三百多件衣， 每天给它脱一件， 年底剩下一张皮	一物生来真稀奇， 身穿三百多件衣， 每天给它脱一件， 年底剩下一张皮<br>谜底：<font color="#FFFFFF">日历 </font>\n
一宵无事休多表（文学体裁）	一宵无事休多表（文学体裁）<br>谜底：<font color="#FFFFFF">晚清小说</font>\n
一泻千里。（打一杂志名）  	一泻千里。（打一杂志名）  <br>谜底：<font color="#FFFFFF">奔流  </font>\n
一心二用（字）	一心二用（字）<br>谜底：<font color="#FFFFFF">忿 </font>\n
一心想戴红领巾。 （打一话剧名）  	一心想戴红领巾。 （打一话剧名）  <br>谜底：<font color="#FFFFFF">童心  </font>\n
一心要填补空白（字）	一心要填补空白（字）<br>谜底：<font color="#FFFFFF">息</font>\n
一行白鹭上青天。 （打一国产故事片名）  	一行白鹭上青天。 （打一国产故事片名）  <br>谜底：<font color="#FFFFFF">长空比翼  </font>\n
一言堂（中药名）	一言堂（中药名）<br>谜底：<font color="#FFFFFF">云母</font>\n
一眼见底。（打一医学名词）  	一眼见底。（打一医学名词）  <br>谜底：<font color="#FFFFFF">透视  </font>\n
一要真心，二要虚心（中药名）	一要真心，二要虚心（中药名）<br>谜底：<font color="#FFFFFF">三七</font>\n
一夜北风万花开， 我从天宫降下来， 今宵人间借一宿， 明朝日出升天台。（打一自然现象） 	一夜北风万花开， 我从天宫降下来， 今宵人间借一宿， 明朝日出升天台。（打一自然现象） <br>谜底：<font color="#FFFFFF">雪</font>\n
一夜成名（字）	一夜成名（字）<br>谜底：<font color="#FFFFFF">口</font>\n
一夜风流错铸成（字）	一夜风流错铸成（字）<br>谜底：<font color="#FFFFFF">夙</font>\n
一夜又一夜（字）	一夜又一夜（字）<br>谜底：<font color="#FFFFFF">多</font>\n
一夜又一夜（字）	一夜又一夜（字）<br>谜底：<font color="#FFFFFF">多</font>\n
一一垂丹青。  	一一垂丹青。  <br>谜底：<font color="#FFFFFF">入画</font>\n
一一垂丹青（美术词语）	一一垂丹青（美术词语）<br>谜底：<font color="#FFFFFF">画谱</font>\n
一一垂丹青（字）	一一垂丹青（字）<br>谜底：<font color="#FFFFFF">更</font>\n
一一归来见天子（字）	一一归来见天子（字）<br>谜底：<font color="#FFFFFF">十</font>\n
一一入殿（三字影片名）	一一入殿（三字影片名）<br>谜底：<font color="#FFFFFF">二进宫</font>\n
一阴一阳之谓道（十字俗语）	一阴一阳之谓道（十字俗语）<br>谜底：<font color="#FFFFFF">见人说人话，见鬼说鬼话</font>\n
一月一日非今天 （字） 	一月一日非今天 （字） <br>谜底：<font color="#FFFFFF">明</font>\n
一再找寻意中人（字）	一再找寻意中人（字）<br>谜底：<font color="#FFFFFF">春</font>\n
一张不能展出的画。 （打国产故事片名一）  	一张不能展出的画。 （打国产故事片名一）  <br>谜底：<font color="#FFFFFF">秘密 </font>\n
一张大嘴紧闭， 两只耳朵竖直， 一捏耳朵张口， 碰见什么都吃。 （打一文具） 	一张大嘴紧闭， 两只耳朵竖直， 一捏耳朵张口， 碰见什么都吃。 （打一文具） <br>谜底：<font color="#FFFFFF">铁夹子 </font>\n
